pub_date	title	venue	excerpt	citation	url_slug	paper_url
2019-01-01	A Truthful and Efficient Incentive Mechanism for Demand Response in Green Datacenters	IEEE Transactions on Parallel and Distributed Systems	Abstract	Todo	A-Truthful-and-Efficient-Incentive-Mechanism-for-Demand-Response-in-Green-Datacenters	https://JiahaiHu.github.io/files/tpds2018-DR-datacenter.pdf
2019-01-01	Precise Power Capping for Latency-Sensitive Applications in Datacenter	IEEE Transactions on Sustainable Computing	Abstract	Todo	Precise-Power-Capping-for-Latency-Sensitive-Applications-in-Datacenter	https://JiahaiHu.github.io/files/tsc2018-datacenter-power-capping.pdf
2019-06-01	A Market-oriented Incentive Mechanism for Emergency Demand Response in Colocation Data Centers	Sustainable Computing: Informatics and Systems	Abstract	Todo	A-Market-oriented-Incentive-Mechanism-for-Emergency-Demand-Response-in-Colocation-Data-Centers	https://JiahaiHu.github.io/files/sustainable-computing-datacenter-EDR-2019.pdf
2018-08-01	CloudHeat: An  Efficient Online Market Mechanism for Datacenter Heat Harvesting	ACM Transactions on Modeling and Performance Evaluation of Computing Systems (TOMPECS)	Abstract	Todo	An--Efficient-Online-Market-Mechanism-for-Datacenter-Heat-Harvesting	https://JiahaiHu.github.io/files/TOMPECS18-cloudheat-FangmingLiu.pdf
2018-06-01	JouleMR: Towards Cost-Effective and Green-Aware Data Processing Frameworks	IEEE Transactions on Big Data	Abstract	Todo	Towards-Cost-Effective-and-Green-Aware-Data-Processing-Frameworks	https://ieeexplore.ieee.org/document/7827156
2017-10-01	An Efficient Online Algorithm for Dynamic SDN Controller Assignment in Data Center Networks	IEEE/ACM Transactions on Networking (TON)	Abstract	Todo	An-Efficient-Online-Algorithm-for-Dynamic-SDN-Controller-Assignment-in-Data-Center-Networks	https://JiahaiHu.github.io/files/ton2017-sdn-FangmingLiu.pdf
2017-05-01	Cocoa: Dynamic Container-based Group Buying Strategies for Cloud Computing	ACM Transactions on Modeling and Performance Evaluation of Computing Systems (TOMPECS)	Abstract	Todo	Dynamic-Container-based-Group-Buying-Strategies-for-Cloud-Computing	https://JiahaiHu.github.io/files/tompecs2016-fangmingliu.pdf
2017-02-01	eBA: Efficient Bandwidth Guarantee under Traffic Variability in Datacenters	IEEE/ACM Transactions on Networking (TON)	Abstract	Todo	Efficient-Bandwidth-Guarantee-under-Traffic-Variability-in-Datacenters	https://ieeexplore.ieee.org/document/7544648
2017-01-01	NIPD: Non-Intrusive Power Disaggregation in Legacy Datacenters	IEEE Transactions on Computers	Abstract	Todo	Non-Intrusive-Power-Disaggregation-in-Legacy-Datacenters	https://JiahaiHu.github.io/files/tc2016-NIPD.pdf
2017-01-01	Cost-Effective Service Provisioning for Hybrid Cloud Applications	ACM/Springer Journal on Mobile Networks and Applications (MONET)	Abstract	Todo	Cost-Effective-Service-Provisioning-for-Hybrid-Cloud-Applications	https://link.springer.com/article/10.1007/s11036-016-0738-0
